
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
  305   0% S     1      0K      0K  fg root     cpufreq_catch_i
  317   0% S     1      0K      0K  fg root     khungtaskd
  318   0% S     1      0K      0K  fg root     kswapd0
  367   0% S     1      0K      0K  fg root     aio/0
  375   0% S     1      0K      0K  fg root     crypto/0
  387   0% D     1      0K      0K  fg root     vaudio-fe
  391   0% S     1      0K      0K  fg root     vbd-fe
  466   0% S     1      0K      0K  fg root     mtdblock0
  471   0% S     1      0K      0K  fg root     mtdblock1
  476   0% S     1      0K      0K  fg root     mtdblock2
  481   0% S     1      0K      0K  fg root     mtdblock3
  486   0% S     1      0K      0K  fg root     mtdblock4
  491   0% S     1      0K      0K  fg root     mtdblock5
  496   0% S     1      0K      0K  fg root     mtdblock6
  501   0% S     1      0K      0K  fg root     mtdblock7
  506   0% S     1      0K      0K  fg root     mtdblock8
  511   0% S     1      0K      0K  fg root     mtdblock9
  516   0% S     1      0K      0K  fg root     mtdblock10
  521   0% S     1      0K      0K  fg root     mtdblock11
  526   0% S     1      0K      0K  fg root     mtdblock12
  531   0% S     1      0K      0K  fg root     mtdblock13
  536   0% S     1      0K      0K  fg root     mtdblock14
  541   0% S     1      0K      0K  fg root     mtdblock15
  546   0% S     1      0K      0K  fg root     mtdblock16
  551   0% S     1      0K      0K  fg root     mtdblock17
  556   0% S     1      0K      0K  fg root     mtdblock18
  563   0% S     1      0K      0K  fg root     spi_kthread
  577   0% S     1      0K      0K  fg root     usb detect wq
  589   0% S     1      0K      0K  fg root     file-storage
  651   0% S     1      0K      0K  fg root     kstriped
    1   0% S     1    404K    260K  fg root     /init
  699   0% S     1      0K      0K  fg root     l2cap
  700   0% S     1      0K      0K  fg root     krfcommd
 1008   0% S     1      0K      0K  fg root     yaffs-bg-1
 1009   0% S     1      0K      0K  fg root     yaffs-bg-1
 1010   0% S     1      0K      0K  fg root     yaffs-bg-1
 1011   0% S     1      0K      0K  fg root     yaffs-bg-1
 1012   0% S     1      0K      0K  fg root     yaffs-bg-1
 1013   0% S     1      0K      0K  fg root     yaffs-bg-1
 1014   0% S     1      0K      0K  fg root     yaffs-bg-1
 1024   0% S     1      0K      0K  fg root     irq/39-0-000c
 1033   0% S     1      0K      0K  fg root     al3006_pls
 1038   0% S     1      0K      0K  fg root     lis3dh_acc_wq1
 1039   0% S     1      0K      0K  fg root     lis3dh_acc_wq2
 1060   0% S     1      0K      0K  fg root     irq/54-headset
 1061   0% S     1      0K      0K  fg root     irq/53-headset
 1080   0% S     1      0K      0K  fg root     mali-pmm-wq
 1085   0% S     4   3440K    192K  fg root     /sbin/adbd
 1101   0% S     1    764K    296K  fg root     /system/bin/sh
 1102   0% S     1   1552K    588K  fg root     /system/bin/nvitemd
 1107   0% S     1    816K    288K  fg root     /system/bin/vcharged
 1111   0% S     2   1864K    276K  fg root     /system/bin/engservice
 1114   0% S     2   1888K    340K  fg root     /system/bin/engmodemclient
 1127   0% S     2   2072K    432K  fg root     modemd
 1128   0% S     5  12792K   1452K  fg root     engpcclient
 1129   0% S     1    692K    284K  fg root     ./sprd_monitor
 1131   0% S     1    676K    240K  fg root     open_ttyNK
